3_62_9_3_4,0.9583771208
3_120_3_62,0.9514888322
3_33_9_3_4,0.9489960752
3_62_22_3_4,0.9474720289
3_120_3_33,0.9448442326
3_120_138_236_679,0.9368006474
3_8_22_20_3_62,0.9360247823
68_20_3_4_22_3_4,0.9348190705
1322_3_120_3_33,0.9338585074
27_48_3_4,0.9306921966
353_1322_3_120_3_33,0.9217507876
371_3_120_43_20_627_372,0.9151527721
3_62_3_42,0.8890915909
3_120_3_14,0.8878154585
3_14_3_14,0.8873660828
3_62_3_14,0.8829832346
3_42_3_62,0.8771052460
3_120_3_8,0.8695384580
3_14_3_8,0.8685146640
3_18_3_62,0.8644864154
3_18_3_33,0.8593104953
3_14_3_62,0.8569085680
3_8_9_3_4,0.8556186329
3_4_3_8_3_8,0.8495156851
3_120_3_4,0.8483030179
3_33_3_18,0.8427966117
3_8_3_8,0.8401862039
3_4_3_18_35_3,0.8382155380
3_264_9_3_4,0.8368999421
3_8_17_3_8,0.8362202223
3_18_3_8,0.8345235564
3_14_9_3_4,0.8326057869
3_62_3_18,0.8202687890
3_4_3_42,0.8193140550
3_14_22_3_4,0.8110811176
3_18_3_14,0.8051865774
1521_23_3_264,0.8038108862
3_8_3_62,0.8023052949
3_62_3_264,0.8013394875
3_62_27_3_62,0.7928731857
3_4_43_3_18,0.7917827856
3_120_3_62_3_14,0.7908561694
3_33_3_33,0.7899182761
3_4_27_20_3_4,0.7889970038
3_120_3_33_3_62,0.7868936189
3_33_3_62_3_120,0.7868936189
3_62_22_3_14,0.7860240755
3_62_3_62,0.7848626105
3_120_138_236_641,0.7834150996
3_33_3_120,0.7800202236
3_8_3_42,0.7725819445
3_18_3_120,0.7718292544
3_4_3_18_3_14,0.7691213069
3_4_22_3_8,0.7680396759
3_14_3_264,0.7627683877
3_8_22_20_3_8,0.7593114186
318_651_22_3_4,0.7564479659
3_4_34,0.7562191718
3_120_3_120,0.7557815001
3_33_3_4,0.7518972798
3_33_3_62_3_4,0.7506472892
1153_3_4_3_4_34,0.7478225302
3_42_3,0.7476816495
3_33_3_8,0.7464990872
3_120_138_17_679,0.7463809884
