0.9645067675	3 136 3 36
0.9616318899	3 21 3 36
0.9589613472	3 136 3 151
0.9574677082	3 21 3 1023
0.9572300743	1557 3 136 3 36
0.9546940202	3 36 9 3 4
0.9517328441	450 3 136 48 23 758 451
0.9471518822	3 4 3 109
0.9456184027	426 1557 3 136 3 36
0.9455256730	3 136 157 281 820
0.9377299791	3 136 3 624
0.9350554600	3 303 3 50
0.9315128145	3 1023 9 3 4
0.9299206859	76 23 3 50 25 3 39
0.9240235393	3 4 19 3 4
0.9107595751	3 358 3 295
0.9036870063	3 4 3 15
0.8575285921	3 4 3 295
0.8561348697	3 39 3 50
0.8323355883	199 430 3 36
0.8279365920	3 50 25 3 303
0.8159660832	3 4 3 36
0.8144158290	3 4 3 21
0.8137659723	225 4560
0.8134297696	3 303 3 1815
0.8077022420	38 3 36 95 788
0.8062743851	293 4560
0.8059654137	3 98 3 98
0.8026343880	3 303 19 3 303
0.7990019179	3 372 19 27
0.7871815657	3 36 3 514
0.7867977025	3 303 3 2934
0.7805581508	38 3 16 3 3223
0.7722150512	3 98 30 3 4
0.7716940555	38 3 36 760
0.7681372361	3 36 3 1153
0.7662014861	199 26 3 36
0.7639862890	3 1023 3 514
0.7562861740	3 280 3 1937
0.7540879394	3 50 9 3 4
0.7539264280	3 1464 3 45
0.7483665860	3 4 48 3 21
0.7455686922	3 36 9 3 21
0.7452488425	3 53 9 3 4
0.7402490601	38 3 16 426
0.7396911040	199 23 3 36
0.7373172118	1476 25 3 765
0.7276603593	760 350 3 21
0.7274184877	3 1099 3 646
0.7268621161	3 21 19 3 21
0.7266332659	3 50 3 109
0.7262449049	3 436 9 3 303
0.7251450225	3 109 3 517
0.7251077339	3 280 3 2873
0.7248245521	38 3 16 3 771 127 89 453 319 1143
0.7241044348	3 789 3 12
0.7239472946	3 21 31748 1013 501 31756
0.7217027185	3 136 30 3 136
0.7175747424	38 3 16 3 514
0.7174644786	3 36 48 3 21
0.7169343523	323 5253
0.7152043760	3 303 19 26580
0.7151758091	23 3 50 139
0.7140228616	3 303 3 12
0.7133340785	23 3 942 139
0.7110789216	3 303 9 3 4
0.7092662577	1821 30 3 4
0.7078602998	3 303 3 4
0.7003551541	1548 156 3 136
0.6944832850	751 350 3 136
0.6940415751	3 372 3 98
0.6895913809	3 136 157 281 1072
0.6868446796	3 53 25 3 39
0.6856011675	3 4 3 15 1350
0.6782105329	1377 3 4 3 12
0.6774892707	3 372 3 20 6299
0.6767623188	3 21 9 3 303
0.6750802115	3 136 3 823
0.6736194508	3 1661 9 3 303
0.6691630292	986 9 3 21
0.6686798283	483 69 3 840 2570 33 3 4 3 539
0.6675918407	3 4 3 50 25 3 303
0.6659887880	3 4 9 3 21
0.6655718714	3 303 48 3 21
0.6621933630	38 3 16 426 3 8
0.6584929628	3 12 3 21
0.6582101453	3 136 19 3 136
0.6580926493	3 4 3 517
0.6559328944	3 98 19 3 372
0.6467658579	3687 23 3 36
0.6466938188	3 21 74 1072
0.6446574606	38 3 16 3 3223 1613
0.6439502308	3 50 9 3 303
0.6430868453	3 4 3 4 19 3 4
0.6424527314	3 21 48 3 21
0.6415867069	430 3 280 3 2873
0.6396399827	3 136 3 2771
0.6383958540	14 3 15 3 303
0.6381270201	3 539 1179 38
0.6373090938	785 25 3 303
0.6356703848	3 136 281 820
0.6343536554	6299 88 3 514
0.6339277402	1072 350 3 136 157
0.6334578335	38 3 16 426 3 1937
0.6330838857	2452 25 3 303
0.6320480592	3 12 3 3629
0.6314773543	3 1464 3 1224
0.6263746794	426 608 25 3 136
0.6226612880	3 514 9 3 303
0.6222265738	3 771 48 3 21
0.6201763490	14 3 15 3 303 3 4
0.6177591738	3 36 350 3 136
0.6176954748	3 136 48 23 758 451 4585
0.6162880847	3 4 3 36 189
0.6161203220	199 430 3 36 37 9 3 303 3 4 3 21
0.6135386151	3 4 3 372 3
0.6133130970	3 1464 3 2700
0.6109406980	3 4 3 4 3 4 3 4 3 4
0.6095996844	483 69 3 840 2570 33 3 4 3 539 312 3 229 37 3
0.6078790890	3 372 3 20
0.6065134510	3 136 157 815 9
0.6053373638	3 36 3 2399
0.6036696546	1072 1076 3 136
0.6031060037	3 50 25 26580
0.6024000130	3 303 1346 3 136
0.6019556892	3 36 9 3 4 852 3 12
0.6003845065	1072 155 156 3 136
0.6001533014	483 3 21 26 3 36 9
0.5993779620	3 700 3 229
0.5993654798	3 36 74 883
0.5963417674	3 98 3 45
0.5950379169	3 136 3 1631
0.5908736352	3 53 3 1507
0.5908731053	3 36 74 2252
0.5907949735	9 3 4 852 3 12
0.5903422621	32 33 23 3 36
0.5901513352	3 136 3 45
0.5867491430	3 1023 9 3 21
0.5867454334	3 36 3 2881
0.5866529574	3 50 19 3 50
0.5865893749	852 3 12 37
0.5863290920	3 436 281 1952
0.5858850027	3 53 25 3 4
0.5856650023	74 76 3 4
0.5853915684	3 3473 2 3 4 19 3 4
0.5834223535	3 98 350 23 3 1631 37
0.5808146681	3 36 74 760
0.5789052295	3 12 3 249 1555
0.5780399564	3 372 3 268
0.5775013007	11 3 12 3 21
0.5761577473	3 4 3 517 3 539
0.5756492725	38 1557 3 136 3 36 760 350 3 21 19 95 788 756 26 6569 11000
0.5750620231	3 271 3 295
0.5727368924	3 36 74 76 3 4
0.5705964579	3 1631 9 3 303 3 4 3 21 762 26 3 136 3 36 760 1014 770 3 21
0.5699363928	92 23 3 1937 37
0.5687253138	3 4 14 3 15
0.5687091759	3 4 3 4 3 4 3 4
0.5684019255	968 23 3 98
0.5680500983	26 3 436 138 430 3 21 3 36 9 3 303 3 4 3 21 426
