0.9343786576	450 3 136 48 23 758 451
0.9214499487	76 23 3 50 25 3 39
0.9198453740	3 36 9 3 4
0.9180188977	3 21 3 36
0.9174036174	3 136 3 36
0.9056130805	1557 3 136 3 36
0.9051251438	3 358 3 295
0.8941434753	3 136 3 151
0.8926600224	3 21 3 1023
0.8818291647	426 1557 3 136 3 36
0.8516729180	3 1023 9 3 4
0.8293080841	3 136 157 281 820
0.6946710068	3 303 3 50
0.6689845523	3 271 3 295
0.6581021176	2807 114 3 45 565 3 765 9 155 7304 26592
0.6118222663	3 136 3 765
0.5920318373	3 109 25 3 4
0.5760434915	3 4 3 21
0.5689135928	2807 114 3 45 565 3 765 9 155 7304
0.5633838070	31748 1013 501 2949 2 724 31752
0.5610759888	136 3 36 760
0.5502871293	3 136 19 3 136
0.5497135970	3 303 3 4
0.5391815096	3 4 11 3 12
0.5379239538	3 823 37
0.5362494108	3 136 3 1631
0.5358312036	3 50 25 3 303
0.5351113710	3 1137 25 3 4
0.5272498972	3 303 19 26580
0.5230204839	3 3102 3
0.5224976212	3 1099 3 646
0.5208361495	3 98 88 3 514
0.5196107202	3 12 48 3 21
0.5148847047	3 136 30 3 136
0.5102809623	3 39 19 3 39
0.5049200119	3 829 25 3 303
0.5044090837	7825 7826 7736
0.5031272563	1083 26 3 1491 1316 30 1241
0.5011331847	3 303 19 3 303
0.4976149767	1557 3 136 3 36 760 350 3 21 19 95 788 756 26 6569 11000 25 3 4 159
0.4963028035	3 36 19 3 7584
0.4954082300	3 28158 3 36
0.4949569749	3 806 37
0.4914590639	3 1023 3
0.4907066483	13225 350 2912 51 3 36 3 280 48 32734 2563
0.4872202673	3 313 37
0.4824141555	3 39 48 3 21
0.4764160007	3 53 9 3 4
0.4749455376	3 16 3
0.4740779217	38 3 4 3
0.4733627875	36 9 29470 3 53
0.4725846273	3 36 3 514
0.4719824110	3 4 3 295
0.4697927207	3 2700 37
0.4694263101	426 3 372 3
0.4677736934	3 16 38 3
0.4673892506	38 3 16 426
0.4665694685	3 4 48 3 21
0.4660569404	280 25 995 6521 2 3 3634
0.4642540678	3 36 9 3 303
0.4641532318	3 736 3 313
0.4633748073	3 4 3 21 38
0.4622854842	3 120 9 3 303
0.4617484022	788 26 2458 457 3066 33 3 624
0.4614796825	3 1815 25 3 303
0.4592170100	3 21 74 1072
0.4584793066	3 50 25 3 789
0.4584140410	3 12 350 3 21
0.4575450195	3 295 48 3 21
0.4555449668	3 280 3
0.4551723380	14 3 15 3 303
0.4549165149	3 372 3
0.4499684142	3 7584 37
0.4490502177	3 280 3 2873
0.4440053290	1548 156 3 136 3
0.4431484532	3 517 92 3 21
0.4406061671	3 4 19 3 4
0.4403922510	3 12 25 3 789
0.4397872621	31748 1013 501 31756
0.4390875880	3 5103 3 436
0.4383257096	1072 350 3 136 157 19 820
0.4380546994	3 21 426 3 36
0.4365515637	3 50 9 3 4
0.4362982636	3 4 3 36 189
0.4345227537	4 38 3
0.4342034743	3 407 139
0.4324094579	3 16 2011 3 840
0.4318172268	38 3 136 3 36
0.4295769035	3 4 3 15
0.4293772617	3 268 37
0.4291184244	3 385 37
0.4279135130	3 2609 3 436
0.4272155002	3 398 37
0.4270706943	3 3102 3 436
0.4269673845	3 646 37
0.4265055402	3 372 3 20
0.4257091899	3 1507 3 295
0.4243156160	3 303 3 12 37
0.4239147483	3 21 3 280
0.4233399638	1013 501 31756
0.4232563319	3 303 3 4 3 21
0.4229871036	3 4 852 3 12
0.4228277510	3 1631 3 303 9
0.4210121037	3 36 76 23 3 50 25 3 39 32731 19 32732 9 1377 3 4 3 12
0.4199164544	157 815 19 3 136 281 820
0.4183166974	3 2020 37
0.4179185995	199 430 3 36
0.4174660310	3 372 3 45
0.4165725636	9730 33 3 9804
0.4157555512	3 136 3 867
0.4153950044	3 866 37
0.4150909510	3 36 74 76 3 4
0.4150071864	3 21 3 771
0.4148744311	36 261 3 4 3 21 5898 3 765 48 3 53 25 3 867 114 1017 26765 2650 3
0.4136222296	27 3 98 37
0.4127895461	3001 19 3 80
0.4108530928	3 3473 2 3 4
0.4107255860	3 4 3 517 3 539
0.4105832321	3 36 74 1072
0.4088510720	3 303 1346 3 136
0.4078901687	3 303 3 12
0.4053750564	3 9532 3
0.4051388051	38 3 16 3 3223 3 98
0.4023142937	3 15 3
0.4014447557	3 36 74 760
0.4011783642	3 514 33 23 3 36 37
0.4001581636	3 21 38 3 16
0.3995701312	760 350 3 21
0.3990482276	1821 30 3 4
0.3986205035	38 3 36 95 788
0.3986004007	11 3 12 37
0.3973992460	3 1464 3 2700
0.3963761544	3 1661 37
0.3960306005	3 53 3 4155
0.3954357587	4 11 3 12 3 21 483 69 3 840
0.3952593836	3 36 9 11 3 12
0.3949361776	2325 661 3 514 138 3 4 3 36
0.3946681943	3 1631 9 3 303
0.3937117449	7736 7822
0.3931615403	3 303 48 3 21
0.3928441626	3 303 9 3 4
0.3921161537	1377 3 4 3 12
0.3909152502	3 539 92
0.3908927020	3 136 147 157
0.3907737952	3 7584 3 209
0.3906971894	3 407 37
0.3904527365	3 229 1179
0.3904117633	30674 27082 30674 27082 30674 27082 30674 27082 30674 27082 30674 27082 30674 27082 30674 27082 30674 27082 30674 27082
0.3902862935	3 789 3 12 37
0.3901863594	3 249 92
0.3899815719	199 430 3 36 9 3 303
0.3899178744	3 36 74 883
0.3893908769	3 303 3 867
0.3892416806	2011 86 1305 1063 138 2949 5988
0.3883194036	3 514 14 3 15
0.3865649773	3 136 3 436
0.3860938745	3 120 37
0.3858652264	3 53 25 3 4
0.3841892409	38 3 36 760 3 4
0.3841249603	908 3 4758 4199 3 280 25 995 6521 3 271 3 295 19 3 358 3 295 1403 85
0.3828952052	3 1321 37
0.3825445862	3 1491 3 3614
0.3818660236	37 3 136
0.3818061340	3 136 3 45
0.3808441996	3 39 3 50
0.3807907089	3 36 48 3 21
0.3802531495	3 436 9 3 303
0.3793926704	3 12 3
0.3793400767	426 3 136 3
0.3788358085	774 1238 9 143 3 50 762 3 372 3 45 10122 30 5333 3 514 82 25 23 3235
0.3785816256	3 36 760 3 21
0.3783927531	38 3 16 3
0.3765939635	3 4 3 12
0.3763947910	25 3 39 3 50
0.3763219444	3 12 3 369
0.3762552656	9730 33 3 9804 26747
0.3760013537	37 3 39
0.3758879578	3 981 92
0.3757389971	48 3 21 38 3
0.3752683856	3 1153 3 4
0.3750045637	3 902 37
0.3743238483	3 136 157 66 815
0.3740567127	426 3 36 9 3 4
0.3734048318	26612 987 3 303 3 4 3 21
0.3732408805	3 436 281 1952
0.3728968971	3 16 38
0.3725212807	3 1023 74 760
0.3724188471	3 8 37
0.3723477510	3 5103 3 436 25
0.3719501311	3 1815 3 295
0.3714917786	323 5253
0.3712803118	9 3 303 3 4 3 21
0.3706905253	26 2458 457 3066 33 3 624
0.3703411479	11 3 12 3 21
0.3695188211	157 9 3 4
0.3694451764	261 3 4 3 21 5898 3 765 48 3 53 25 3 867 114 1017 26765 38 3 16
0.3674404094	38 3 140 25 23 3 36
0.3669733719	28341 28344 350 3 136
0.3669274328	3 136 157 281 1072
0.3669229882	3 12 3 21
0.3668882256	6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722 6722
0.3664034347	3 2225 37
0.3663015216	3 303 3
0.3661447984	3 405 37
0.3661176209	29470 3 53 9 3 4 11 3 12 3 21
0.3659715590	20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585 20585
0.3659715590	30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644 30644
0.3659451644	21 38 3 16 426 3 1937
0.3655847363	3 50 25 26580
0.3652917518	199 430 3 36 9 3 303 3 4 3 21
0.3651178139	3 1153 37
0.3644314760	3 16 426 3 1937
0.3637009199	92 23 3 1937 37
0.3629732841	4 3 36
0.3617214991	92 350 3 136 157
0.3614275454	37 3 539 1179
0.3612230829	3 1023 3 514
0.3611160571	37 2882 350 3 136 157
0.3609599660	3 136 1557 3 36
0.3603849644	3 4 11 3 12 3 21
0.3602457893	3 1507 3 295 92
0.3598255802	3 136 157 281 774
0.3597347413	18879 27088 18879 27088 18879 27088 18879 27088 18879 27088 18879 27088 18879 27088 18879 27088 18879 27088 18879 27088
0.3596184909	3 120 3 436
0.3593460707	3 1464 3 20
0.3589983338	199 430 3 36 9 3 303 3 4 3 21 38 1557 3 136
0.3587347413	30674 30675 30674 30675 30674 30675 30674 30675 30674 30675 30674 30675 30674 30675 30674 30675 30674 30675 30674 30675
0.3587347413	30674 32662 30674 32662 30674 32662 30674 32662 30674 32662 30674 32662 30674 32662 30674 32662 30674 32662 30674 32662
0.3587347413	30674 32669 30674 32669 30674 32669 30674 32669 30674 32669 30674 32669 30674 32669 30674 32669 30674 32669 30674 32669
0.3585885943	38 3 16 426 3 8
0.3585731276	3 1099 37
0.3572752340	3 45 3 68
0.3571324425	852 3 12 37
0.3571067938	2648 3 136 157 1567 3 765 826 64 969 14620 33 23 3 21 3 36 121 3 275
0.3567279095	38 3 16 2011 3 840
0.3562357614	3 2536 3 229
0.3561612024	4 11 3 12 37 3 21 38 3 36
0.3561095419	3 454 37
0.3557788364	2695 350 3 1339
0.3551047073	3 136 48 23 758 451 4585
0.3549780238	483 69 3 840 2570 33 3 4 3 539
0.3543895476	38 3 16 426 3 1937
0.3542581957	7825 7826 7736 7822
0.3535045741	3 1023 760 3 4
0.3530874061	3 303 38 3 36
0.3530313392	3 39 3 50 37
0.3527955605	3 840 1063
0.3523471303	29470 3 53 37
0.3522233482	3 98 350 23 3 1631 37
0.3519541842	199 430 3 36 37
0.3510977180	3 39 3
0.3509559159	426 3 1937
0.3506553333	19430 19431
0.3506265193	38 3 4
0.3506143998	3 280 3 2075
0.3502737506	1279 199 430 3 36 9 3 303 3 4 3 21
0.3501863182	92 350 3 136 157 281 1072
0.3498971884	3 53 48 3 21
0.3498753353	3 253 3 98
0.3496234733	21 3 3800 350 3 136 157
0.3494676091	1631 3 21 3 36 9 26599 14712 26612 3 4 3 21 38 3 16
0.3493127805	3 136 157 19 820
0.3491096656	3 700 3 229
0.3488451050	20606 3 36 760 3 4 1467 3 21
0.3480678210	3 36 37 92
0.3478645945	3 313 3 436
0.3475722988	3 39 3 4
0.3473893168	303 3 303
0.3471726808	3 295 1350 23
0.3470946776	3 136 157 19 5073
0.3469815714	3 1464 3
0.3467444792	3 4 3 4 19 3 4
0.3466092979	3 36 760 3 4
0.3462909403	539 312 3 229
0.3458006251	18879 27082 18879 27082 18879 27082 18879 27082 18879 27082 18879 27082 18879 27082 18879 27082 18879 27082 18879 27082
0.3448292544	3 1661 9 3 303
0.3446692432	3 21 38 3 36
0.3442423778	3 372 3 98
0.3438110345	37 3 16
0.3434833096	9 3 303 3 4
0.3432401718	3 16 3 372 3 20
0.3428123108	3 4 3 50 25 3 303
0.3425269719	26599 9660 26612 3 4
0.3423749225	14 3 15 3 39 3 4
0.3422887885	3 36 14 3 15
0.3418580395	3 2073 37
0.3407473577	3 16 426 3
0.3404699646	3 2934 37
0.3397600256	37 159 3
0.3396458448	39 3 50 37 3 4 11 3 12
0.3394405976	3 898 37
0.3391086400	3 423 3
0.3385291848	29470 3 53 37 3 39 3 50
0.3383731687	3 517 37
0.3380441400	199 430 3 36 9 3 303 3 4 3 21 3 16
0.3379219633	3 36 9 3 303 3 4 3 21
0.3375585295	38 1557 3 136 3 36 760 350 3 21 19 95 788 756 26 6569 11000
0.3375086856	3 20 19 3
0.3371530473	3 109 3 517
0.3371166919	3 885 37
0.3370878925	3 53 37 3 39 3 50
0.3367975472	3232 82 3 21
0.3364118658	3 12 3 249 1555
0.3361264944	1944 25 3 436
0.3359296863	852 9 3 280
0.3359288255	3 50 19 3 50
0.3354907850	3 98 3 98
0.3346357824	36 760 3 4 3 21 5072 350 2912 51 3 792 3 436 19 2857 157 8333
0.3345229835	3 1507 37
0.3343782163	130 3 136 3
0.3340780357	3 45 26753 3 21 114 3691 923 30 26754 74 3 3223 795 2325 661 3 514 114 1490
0.3340251875	3 771 3 98
0.3336413580	3 136 3 624 37
0.3334951103	26599 14712 26612 3 4 3 21
0.3334084210	3 942 37
0.3331340490	14 3 15
0.3328711860	37 92 23 3
0.3326998468	3 273 3
0.3321190843	303 3 21
0.3320783134	3 1464 3 45
0.3319396640	3 372 3 268
0.3317257715	3 15 3 39
0.3316640628	3 789 3 50
